grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center,hotspot,z_112,z_5crime,z_cctv,z_patrol,need_score,rank_in_sigungu
다라332275,41,7,0,0,0,강진군,933250.0,1627550.0,True,-0.04739123603820149,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.13168784289800162,26
다라334274,24,5,1,1,0,강진군,933450.0,1627450.0,True,-0.296195225238759,-0.030772872744833216,0.07905694150420949,-0.4343722427630695,-0.1493104473541622,27
다라332272,17,9,0,1,0,강진군,933250.0,1627250.0,True,0.20141275316235605,-0.67700320038633,0.07905694150420949,-0.4343722427630695,-0.2979327965945439,28
다라374063,11,1,3,0,1,강진군,937450.0,1606350.0,True,-0.7938032036398741,1.2616877825381605,-0.7510409442899902,2.3021728866442683,-0.3076813922788526,29
다라373063,7,0,1,0,0,강진군,937350.0,1606350.0,True,-0.9182051982401529,-0.030772872744833216,-0.7510409442899902,-0.4343722427630695,-0.3562714774584563,30
다라373357,18,4,0,0,0,강진군,937350.0,1635750.0,True,-0.4205972198390378,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.5048938266988379,31
다라373359,12,4,0,0,0,강진군,937350.0,1635950.0,True,-0.4205972198390378,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.5048938266988379,31
다라330270,9,4,0,0,0,강진군,933050.0,1627050.0,True,-0.4205972198390378,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.5048938266988379,31
다라373064,24,3,0,0,0,강진군,937350.0,1606450.0,True,-0.5449992144393165,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.6292958212991167,32
다라330271,18,3,0,0,0,강진군,933050.0,1627150.0,True,-0.5449992144393165,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.6292958212991167,32
다라374356,6,3,0,0,0,강진군,937450.0,1635650.0,True,-0.5449992144393165,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.6292958212991167,32
다라372065,20,4,1,2,0,강진군,937250.0,1606550.0,True,-0.4205972198390378,-0.030772872744833216,0.9091548272984092,-0.4343722427630695,-0.6887613848515408,33
다라332273,12,2,0,0,0,강진군,933250.0,1627350.0,True,-0.6694012090395953,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.7536978158993954,34
다라325274,9,1,0,0,0,강진군,932550.0,1627450.0,True,-0.7938032036398741,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.8780998104996742,35
